Order parameter,KS,Lya_max,Shibata,delta
0.96999999999999997,2.18359604E-02,2.80259693E-45,-0.12269295006990433,0
0.96999999999999997,2.18683202E-02,4.81885014E-04,-0.11434340476989746,0
0.96999999999999997,2.18374245E-02,-3.12527269E-03,-0.13559214770793915,0
0.96999999999999997,2.19275076E-02,-4.28133039E-03,-0.14422507584095001,0
0.96999999999999997,2.18388885E-02,-4.27306257E-03,-0.14577232301235199,0
0.94999999999999996,2.19774060E-02,1.83049438E-03,-0.11934836208820343,0
0.94999999999999996,2.18403507E-02,2.91220029E-03,-0.11560600250959396,0
0.94999999999999996,2.20111534E-02,-6.45733089E-04,-0.14669260382652283,0
0.96999999999999997,2.18418147E-02,-7.20791006E-03,-0.16576698422431946,0
0.96999999999999997,2.20395923E-02,-7.98074342E-03,-0.17013400793075562,0
0.96999999999999997,2.18432769E-02,-4.20194818E-03,-0.16477596759796143,0
0.96999999999999997,2.20608115E-02,3.20615806E-03,-0.14233174920082092,0
0.96999999999999997,2.18447428E-02,4.18294454E-03,-8.9148908853530884E-002,0
0.96999999999999997,2.20765956E-02,-1.01387650E-02,-0.18328580260276794,0
0.96999999999999997,2.18462031E-02,3.14611872E-03,-0.15531176328659058,0
0.96999999999999997,2.20903158E-02,3.74257681E-03,-0.14868028461933136,0
0.96999999999999997,2.18476672E-02,-1.16075184E-02,-0.19182920455932617,0
0.96999999999999997,2.20994633E-02,-1.20193083E-02,-0.19450943171977997,0
0.96999999999999997,2.18491312E-02,-1.25275208E-02,-0.19704891741275787,0
0.96999999999999997,2.21067425E-02,-2.01468566E-03,-0.18476668000221252,0
0.96999999999999997,2.18505915E-02,2.41060229E-03,-0.17762205004692078,0
0.96999999999999997,2.21118871E-02,-1.38711110E-02,-0.20458386838436127,0
0.94999999999999996,2.18520593E-02,-1.42882569E-02,-0.20696307718753815,0
0.94999999999999996,2.21161265E-02,-1.47448853E-02,-0.20929440855979919,0
0.89000000000000001,2.18535177E-02,4.67157690E-03,-0.15573126077651978,0
0.82999999999999996,2.21157223E-02,4.65555722E-03,-0.14117729663848877,0
0.77000000000000002,2.18549818E-02,4.72270278E-03,-0.16236911714076996,0
0.72999999999999998,2.21155714E-02,-1.64407212E-02,-0.21819834411144257,0
0.68999999999999995,2.18564440E-02,4.64525912E-03,-0.12995912134647369,0
0.65000000000000002,2.21142247E-02,-1.72668584E-02,-0.22243034839630127,0
0.68999999999999995,2.18579061E-02,-1.76627152E-02,-0.22449849545955658,0
0.72999999999999998,2.21109241E-02,5.01306076E-03,-0.18173423409461975,0
0.68999999999999995,2.18593702E-02,-1.84906777E-02,-0.22854608297348022,0
0.68999999999999995,2.21069679E-02,-1.88851841E-02,-0.23052850365638733,0
0.67000000000000004,2.18608323E-02,-1.92813948E-02,-0.23248504102230072,0
0.67000000000000004,2.21015736E-02,4.55254968E-03,-6.6387176513671875E-002,0
0.65000000000000002,2.18622927E-02,-2.00782828E-02,-0.23632493615150452,0
0.65000000000000002,2.20964123E-02,-2.04672404E-02,-0.23821038007736206,0
0.65000000000000002,2.18637530E-02,4.53019980E-03,-0.12081167101860046,0
0.65000000000000002,2.20908169E-02,-2.12463140E-02,-0.24191685020923615,0
0.63000000000000000,2.18652170E-02,-2.16382332E-02,-0.24373956024646759,0
0.63000000000000000,2.20837928E-02,4.58359532E-03,-0.12678650021553040,0
0.63000000000000000,2.18666792E-02,-2.23973058E-02,-0.24732780456542969,0
0.65000000000000002,2.20760871E-02,-2.27699876E-02,-0.24909469485282898,0
0.67000000000000004,2.18681432E-02,4.55227681E-03,-0.10934410989284515,0
0.67000000000000004,2.20677089E-02,4.55145631E-03,-8.7004050612449646E-002,0
0.67000000000000004,2.18696017E-02,-2.39060838E-02,-0.25429400801658630,0
0.67000000000000004,2.20584515E-02,4.56352998E-03,-0.12527096271514893,0
0.68000000000000005,2.18710657E-02,4.55192383E-03,-7.4384666979312897E-002,0
0.68000000000000005,2.20493767E-02,-2.50302963E-02,-0.25935280323028564,0
0.68000000000000005,2.18725260E-02,5.64020500E-03,-0.21497245132923126,0
0.69999999999999996,2.20393762E-02,4.87739965E-03,-0.19804295897483826,0
0.69999999999999996,2.18739882E-02,-2.61316039E-02,-0.26428407430648804,0
0.69999999999999996,2.20310707E-02,-2.64873151E-02,-0.26590025424957275,0
0.69999999999999996,2.18754485E-02,4.58006514E-03,-0.15907430648803711,0
0.69999999999999996,2.20222790E-02,-2.72324532E-02,-0.26909899711608887,0
